source_row,citation_key,manuscript_reference_number,proof_reference_number,paper_title,cam_concept,cell_structure,technology,process_node_nm,area_um2,search_energy_fj_per_bit_per_search,year,storage_mode_reported,states_stored,nonvolatile,storage_mode_inferred,storage_mode_for_plot,storage_mode_interpreted,bits_stored,information_density_bits_per_um2,layout_factor_k,layout_normalized_search_energy
7,SRAM_6,52,47,Design of a power‐efficient CAM using automated background checking scheme for small match line swing,BCAM,10T,SRAM,65,3.3,0.77,2013,Digital,2,,False,Digital,Digital,1,0.30303030303,781.065088757,0.000985833333333
25,ReRAM_2,60,55,"1mb 0.41 μm2 2T-2R cell nonvolatile TCAM with two-bit encoding and clocked self-referenced sensing,",TCAM,2T2PCM,ReRAM,90,0.41,,2014,Digital,3,yes,False,Digital,Digital,1.58496250072,3.86576219688,50.6172839506,
27,ReRAM_4,62,57,"ReRAM-based 4T2R nonvolatile TCAM with 7× NVM-stress reduction, and 4× improvement in speed-wordlengthcapacity for normally-off instant-on filter-based search engines used in big-data processing",TCAM,4T2R,ReRAM,180,9.7,,2014,Digital,3,yes,False,Digital,Digital,1.58496250072,0.163398195951,299.382716049,
24,ReRAM_1,59,54,17.5 a 3T1R nonvolatile TCAM using MLC ReRAM with sub-1ns search time,TCAM,3T1R,ReRAM,90,1.57,0.51,2015,Digital,3,yes,False,Digital,Digital,1.58496250072,1.00953025524,193.827160494,0.00263121019108
6,SRAM_5,31,31,A Configurable TCAM/BCAM/SRAM Using 28nm Push-Rule 6T Bit Cell,TCAM/BCAM/SRAM,6T,SRAM,28,0.152,0.6,2015,Digital,2,Yes,False,Digital,Digital,1,6.57894736842,193.87755102,0.00309473684211
39,MTJ_7,69,64,ODESY: A novel 3T-3MTJ cell design with Optimized area Density Scalability and latencY,,1T1MTJ,MTJ,45,0.042525,,2016,,2,,True,,Digital,1,23.5155790711,21,
40,MTJ_7,69,64,ODESY: A novel 3T-3MTJ cell design with Optimized area Density Scalability and latencY,,2T2MTJ,MTJ,45,0.087075,,2016,,2,,True,,Digital,1,11.4843525696,43,
41,MTJ_7,69,64,ODESY: A novel 3T-3MTJ cell design with Optimized area Density Scalability and latencY,,3T3MTJ,MTJ,45,0.127575,,2016,Digital,4,Yes,False,Digital,Digital,2,15.6770527141,63,
26,ReRAM_3,61,56,A 256b-Wordlength ReRAM-based TCAM with 1ns Search-Time and 14× Improvement in WordLength-EnergyEfficiency-Density Product using 2.5T1R cell,TCAM,2.5T1R,ReRAM,65,0.585,0.28,2016,Digital,3,Yes,False,Digital,Digital,1.58496250072,2.70933760807,138.461538462,0.00202222222222
43,FeFET_2,70,65,Design and Benchmarking of Ferroelectric FET based TCAM,TCAM,4T2FeFET,FeFET,45,0.65,,2017,Digital,3,Yes,False,Digital,Digital,1.58496250072,2.43840384726,320.987654321,
31,MTJ_1,64,59,A 10T-4MTJ nonvolatile ternary CAM cell for reliable search operation and a compact area,TCAM,10T4MTJ,MTJ,45,2.78,40.5,2017,Digital,3,yes,False,Digital,Digital,1.58496250072,0.570130395943,1372.83950617,0.0295008992806
29,ReRAM_6,63,58,A 3T1R Nonvolatile TCAM Using MLC ReRAM for Frequent-Off Instant-On Filters,TCAM,3T1R,ReRAM,90,0.8704,0.51,2017,Digital,3,Yes,False,Digital,Digital,1.58496250072,1.82095875542,107.456790123,0.00474609375
42,FeFET_1,55,50,An Ultra-Dense 2FeFET TCAM Design Based on a Multi-Domain FeFET Model,TCAM,2FeFET,FeFET,45,0.1456,,2019,Digital,3,Yes,False,Digital,Digital,1.58496250072,10.885731461,71.9012345679,
45,FeFET_4,72,67,Ferroelectric Ternary Content-Addressable Memory for One-Shot Learning,TCAM,2FeFET,FeFET,45,0.15,0.4,2019,Digital,3,Yes,False,Digital,Digital,1.58496250072,10.5664166715,74.0740740741,0.0054
44,FeFET_3,71,66,FeCAM: A Universal Compact Digital and Analog Content Addressable Memory Using Ferroelectric,CAM,2FeFET,FeFET,45,0.05,0.182,2020,Analog,8,Yes,False,Analog,Analog,3,60,24.6913580247,0.007371
28,ReRAM_5,37,37,Analog content-addressable memories with memristors,TCAM,6T2M,ReRAM,16,0.5184,,2020,Analog,16,,False,Analog,Analog,4,7.71604938272,2025,
23,DRAM_22,49,44,"Tunnel FET Negative-Differential-Resistance Based 1T1C Refresh-Free-DRAM, 2T1C SRAM and 3T1C CAM",CAM,2T1C,DRAM,28,0.104,,2021,,2,,True,,Digital,1,9.61538461538,132.653061224,
30,ReRAM_7,53,48,Memristor‐transistor hybrid ternary content addressable memory using ternary memristive memory cell,TCAM,2T2M,ReRAM,65,6.11,0.866,2021,Digital,3,,False,Digital,Digital,1.58496250072,0.259404664602,1446.15384615,0.000598829787234
16,SRAM_15,50,45,Two-Direction In-Memory Computing Based on 10T SRAM With Horizontal and Vertical Decoupled Read Ports,,10T SRAM,SRAM,28,2.6598,1,2021,Digital,2,No,False,Digital,Digital,1,0.375968117904,3392.60204082,0.000294759004436
11,SRAM_10,51,46,A Reliable 8T SRAM for High-Speed Searching and Logic-in-Memory Operations,,8T SRAM,SRAM,28,0.739,,2022,Digital,3,No,False,Digital,Digital,1.58496250072,2.14473951383,942.602040816,
